12246	Vito_Zoldyckov [372862]	GIVE	211428	Carbine Rifle (LSPD1290)	1	24.01.2023, 23:50:05
12245	Sylvester_Scorsez [411805]	TAKE	243581	Carbine Rifle (LSPD8929)	1	24.01.2023, 23:49:59
12244	Sylvester_Scorsez [411805]	TAKE	243581	Carbine Rifle (LSPD6123)	1	24.01.2023, 23:49:58
12243	Vlad_Yarmoshko [448861]	TAKE	243383	Carbine Rifle (LSPD8934)	1	24.01.2023, 23:49:27
12242	Zuber_Quadrez [419258]	GIVE	115184	Тяжелый пистолет (LSPD4231)	1	24.01.2023, 23:49:09
12241	Zuber_Quadrez [419258]	TAKE	115184	Carbine Rifle (LSPD1739)	1	24.01.2023, 23:49:06
12240	Rick_Quadrez [403113]	TAKE	115184	Carbine Rifle (LSPD6214)	1	24.01.2023, 23:48:53
12239	Wyatt_Cooperyan [233588]	GIVE	230145	Carbine Rifle (LSPD5373)	1	24.01.2023, 23:47:47
12238	Wyatt_Cooperyan [233588]	TAKE	238709	Carbine Rifle (LSPD5373)	1	24.01.2023, 23:47:40
12237	Wyatt_Cooperyan [233588]	GIVE	230145	Carbine Rifle (LSPD3676)	1	24.01.2023, 23:47:30
12236	Wyatt_Cooperyan [233588]	GIVE	230145	Carbine Rifle (LSPD2351)	1	24.01.2023, 23:47:30
12235	Wyatt_Cooperyan [233588]	TAKE	238709	Carbine Rifle (LSPD3676)	1	24.01.2023, 23:47:26
12234	Wyatt_Cooperyan [233588]	TAKE	238709	Carbine Rifle (LSPD2351)	1	24.01.2023, 23:47:25
12233	Wyatt_Cooperyan [233588]	GIVE	230145	Carbine Rifle (LSPD1085)	1	24.01.2023, 23:47:20
12232	Wyatt_Cooperyan [233588]	TAKE	238709	Carbine Rifle (LSPD1085)	1	24.01.2023, 23:47:14
12231	Wyatt_Cooperyan [233588]	GIVE	230145	Carbine Rifle (LSPD6474)	1	24.01.2023, 23:47:06
12230	Wyatt_Cooperyan [233588]	TAKE	238709	Carbine Rifle (LSPD6474)	1	24.01.2023, 23:47:01
12229	Vito_Zoldyckov [372862]	TAKE	211428	Carbine Rifle (LSPD1290)	1	24.01.2023, 23:45:49
12228	Stint_Vorontsov [300873]	TAKE	137331	Service Carbine (LSPD5521)	1	24.01.2023, 23:43:58
12227	Mozzie_Essence [155370]	GIVE	179289	Тазер (LSPD3705)	1	24.01.2023, 23:42:40
12226	Mozzie_Essence [155370]	TAKE	179289	Тазер (LSPD3705)	1	24.01.2023, 23:42:30
12225	Zuzya_Scorsez [393935]	TAKE	235758	Carbine Rifle (LSPD2926)	1	24.01.2023, 23:42:13
12224	Volodya_Bromsky [440658]	TAKE	236196	Carbine Rifle (LSPD9286)	1	24.01.2023, 23:40:23
12223	Artem_Ham [417686]	GIVE	243866	Service Carbine (LSPD6779)	1	24.01.2023, 23:38:16
12222	Wyatt_Cooperyan [233588]	GIVE	238709	Carbine Rifle (LSPD5373)	1	24.01.2023, 23:37:59
12221	Andrey_Gagarin [228585]	TAKE	180033	Тазер (LSPD4044)	1	24.01.2023, 23:37:43
12220	Sasha_Korobkin [309854]	TAKE	213370	Carbine Rifle (LSPD6336)	1	24.01.2023, 23:36:47
